replicate,noise_case,method,fidelity_to_reconstruction_target,fidelity_to_ideal_pre_noise_state,ideal_to_target_fidelity,hs_distance_to_target,minimum_eigenvalue,physical,inference_seconds
2,biased_pauli_02_01_05,neural_network,0.9451780520334283,0.8043048342207478,0.8744772426913185,0.3056276482016566,0.010245343741892394,True,0.00020700000459328294
2,coherent_z_rotation_008rad,linear_inversion,1.0,1.0,0.9983176187183848,0.0774779829337514,-0.04707148702651915,False,0.0003495419805403799
2,coherent_z_rotation_008rad,maximum_likelihood,0.9996427894621023,0.9982115041606797,0.9983176187183848,0.026729311145622048,3.571423764306612e-13,True,0.015093499998329207
2,coherent_z_rotation_008rad,neural_network,0.8562611409382219,0.854129303278971,0.9983176187183848,0.4257580730542161,0.0010100232782021322,True,0.00022245800937525928
2,readout_assignment_3pct_5pct,linear_inversion,0.9080357191926911,0.9080357191926911,1.0,0.12633524462580373,-0.002193527384450129,False,0.00035395901068113744
2,readout_assignment_3pct_5pct,maximum_likelihood,0.9161764289996012,0.9161764289996012,1.0,0.11192479376161864,2.940985478386082e-12,True,0.07048741698963568
2,readout_assignment_3pct_5pct,neural_network,0.7835486062030012,0.7835486062030012,1.0,0.4373686056021948,0.016320024250848737,True,0.00021162498160265386
3,finite_shots_only,linear_inversion,1.0,1.0,1.0,0.0865836782524533,-0.03261147712615869,False,0.00035125002614222467
3,finite_shots_only,maximum_likelihood,0.9841658132796652,0.9841658132796652,1.0,0.055941741549633724,2.966471845663918e-15,True,0.0709823340002913
3,finite_shots_only,neural_network,0.9249568245093465,0.9249568245093465,1.0,0.30538341298139027,5.299826905493098e-06,True,0.0002080409904010594
3,global_depolarizing_p08,linear_inversion,0.9766222072166363,0.9266492187768358,0.9400000268190174,0.06120049271580254,-0.008038694506546235,False,0.00036074998206458986
3,global_depolarizing_p08,maximum_likelihood,0.9693953452374674,0.9297106884658032,0.9400000268190174,0.05636176635077693,8.124779608357042e-13,True,0.07018979202257469
3,global_depolarizing_p08,neural_network,0.9549857986219846,0.9583675832561152,0.9400000268190174,0.1964816119875726,9.883696741843032e-08,True,0.00026083298143930733
3,amplitude_damping_p08,linear_inversion,1.0,0.924120611025494,0.912661070221828,0.06531099506895725,-0.03138208867096023,False,0.0003540419857017696
3,amplitude_damping_p08,maximum_likelihood,0.9896552106978088,0.9232847615110449,0.912661070221828,0.03478580624563355,5.168340330875934e-14,True,0.07022141700144857
3,amplitude_damping_p08,neural_network,0.9554304011148619,0.9530810696136571,0.912661070221828,0.17162246307804116,0.00017438055654938627,True,0.00021545900381170213
3,phase_damping_p08,linear_inversion,0.9830200753985138,0.9518457173519786,0.9400623739851459,0.065537963871656,-0.013967442643719455,False,0.0003487499780021608
