sample,state_type,shots_per_setting,method,hs_distance,fidelity,minimum_eigenvalue,inference_seconds
51,product,500,linear_inversion,0.09492164301967988,0.9882409480368226,-0.05255507465896033,0.0002182909993280191
51,product,500,maximum_likelihood,0.024382270421931477,0.9927719821954617,4.7304219210515726e-15,0.021606958000120358
51,product,500,neural_network,0.2657883509572663,0.9587198790482281,3.843897492320545e-05,5.491699994308874e-05
52,haar,500,linear_inversion,0.0866377677140489,1.0,-0.05908707657839216,0.00019654199968499597
52,haar,500,maximum_likelihood,0.0464434699356637,0.9877036660407803,6.816891332086526e-14,0.02164041600008204
52,haar,500,neural_network,0.3406401732786053,0.9127308539770612,0.0023823163157215663,5.4957999964244664e-05
53,mixed,500,linear_inversion,0.05884724312336826,0.9823628470534963,-0.001253173809542626,0.00019808400065812748
53,mixed,500,maximum_likelihood,0.05927849552259039,0.9817226730288247,1.0174417091945341e-12,0.0216402919995744
53,mixed,500,neural_network,0.4463836034822546,0.8523621723070711,0.031243153156259137,5.075000080978498e-05
54,product,500,linear_inversion,0.08392383652314322,0.9855704092234318,-0.04680371183713306,0.00020112499987590127
54,product,500,maximum_likelihood,0.030330861190090132,0.9900882890274625,3.8761336547810196e-18,0.021145000000615255
54,product,500,neural_network,0.25192720890728815,0.9477455529049642,5.41599671601952e-06,5.712500023946632e-05
55,haar,500,linear_inversion,0.08403242213121291,0.9863092876536906,-0.022159098237978854,0.00019550000070012175
55,haar,500,maximum_likelihood,0.029824152321634167,0.9879781356804671,4.275992258695025e-14,0.021139500000572298
55,haar,500,neural_network,0.19714593019236687,0.956887287685765,7.29008141847811e-05,5.591699846263509e-05
56,mixed,500,linear_inversion,0.0637478968022166,0.9957033991961978,-0.005615967521578477,0.00019470799998089205
56,mixed,500,maximum_likelihood,0.05538368893702287,0.9917974710012084,1.536077500232802e-12,0.02167104199907044
56,mixed,500,neural_network,0.40412382257275864,0.8534788206414395,0.03782272737946652,5.0959000873262994e-05
57,product,500,linear_inversion,0.0778932557803302,1.0,-0.03867009208910706,0.00019512500148266554
57,product,500,maximum_likelihood,0.030709019910304173,0.9957657944872708,1.9252887812660773e-14,0.021553541999310255
57,product,500,neural_network,0.23927426089453208,0.9620956624480641,2.1197857748376375e-07,5.612499990093056e-05
58,haar,500,linear_inversion,0.07900286373050901,0.9981452813096328,-0.03197348066907185,0.00019654099924082402
58,haar,500,maximum_likelihood,0.02720946866285072,0.9952528065448688,8.618747502307004e-14,0.02154829200117092
58,haar,500,neural_network,0.21214838640828634,0.9592559514737329,0.00013138200668728084,5.083399992145132e-05
59,mixed,500,linear_inversion,0.0820142528312433,0.9764598224607479,0.0013279119428867988,0.00021316600032150745
59,mixed,500,maximum_likelihood,0.07555543735542744,0.978494629408378,0.0023195527677199674,0.02142712500062771
59,mixed,500,neural_network,0.37393613367137385,0.8528020843868075,0.058081208735233196,6.012499943608418e-05
