n_qubits,state_type,observable,observable_weight,method,requested_copy_budget,mean_actual_total_copies,mean_collection_total_copies,replicates,bias,mae,rmse,p90_absolute_error,physical_fraction
2,product,IZ,1,direct_split_collection_budget,900,225.0,900.0,20,0.005329046819196189,0.04113466634862409,0.06635901704771642,0.09604429641261221,not_applicable
2,product,IZ,1,direct_split_collection_budget,1800,450.0,1800.0,20,-0.0042265087363593645,0.024590635854590887,0.033428459125514155,0.05446893422703121,not_applicable
2,product,IZ,1,direct_split_collection_budget,4500,1125.0,4500.0,20,0.0019512690414184158,0.020195018419352815,0.025069761474340133,0.03936945326562897,not_applicable
2,product,IZ,1,direct_targeted_pauli,90,90.0,360.0,20,-0.006226508736359354,0.06309447256588246,0.08280490708916513,0.15992147624174538,not_applicable
2,product,IZ,1,direct_targeted_pauli,180,180.0,720.0,20,0.00932904681919619,0.040595027754338694,0.05387475558419499,0.08657667556062086,not_applicable
2,product,IZ,1,direct_targeted_pauli,450,450.0,1800.0,20,-0.0022265087363593575,0.0262556615890689,0.03051011032013567,0.048871618301995684,not_applicable
2,product,IZ,1,direct_targeted_pauli,900,900.0,3600.0,20,0.0008846023747517417,0.021938275473431225,0.03326963847294681,0.054636474693967756,not_applicable
2,product,IZ,1,direct_targeted_pauli,1800,1800.0,7200.0,20,-0.0032820642919149114,0.016598084265940317,0.02007989697426702,0.031356764838483785,not_applicable
2,product,IZ,1,direct_targeted_pauli,4500,4500.0,18000.0,20,0.003106824596973974,0.010493186878798386,0.013228583228903672,0.02266776888382367,not_applicable
2,product,IZ,1,linear_inversion,90,90.0,90.0,20,0.04932904681919619,0.1400766741279472,0.19728068958254052,0.2652606483356246,0.0
2,product,IZ,1,linear_inversion,180,180.0,180.0,20,0.02932904681919617,0.08208117750944596,0.11800488345318418,0.1907926091818238,0.0
2,product,IZ,1,linear_inversion,450,450.0,450.0,20,-0.046670953180803804,0.08282050535282895,0.11235992635933721,0.18386198668740664,0.0
2,product,IZ,1,linear_inversion,900,900.0,900.0,20,0.007329046819196154,0.07142702508851458,0.0917072070490388,0.17659248859289076,0.0
2,product,IZ,1,linear_inversion,1800,1800.0,1800.0,20,-0.0021709531808038335,0.049712357121983936,0.06103453768877271,0.10086225190843906,0.0
2,product,IZ,1,linear_inversion,4500,4500.0,4500.0,20,0.008729046819196153,0.03689747124116012,0.046059863686763965,0.06832366760633947,0.0
2,product,IZ,1,neural_network,90,90.0,90.0,20,-0.1773561868836989,0.27692495920354776,0.35794081198372396,0.5965491942918706,1.0
2,product,IZ,1,neural_network,180,180.0,180.0,20,-0.08097180500967896,0.25541817603897676,0.36460002790491947,0.3989566164768463,1.0
2,product,IZ,1,neural_network,450,450.0,450.0,20,-0.09080573583855085,0.12065814100751845,0.14042308437875803,0.19110919046291938,1.0
2,product,IZ,1,neural_network,900,900.0,900.0,20,-0.0435337731217409,0.12704498183784457,0.15811798285619125,0.19757055865790932,1.0
2,product,IZ,1,neural_network,1800,1800.0,1800.0,20,-0.05111198291548796,0.09244893225067785,0.11109787502787734,0.18738068846793016,1.0
2,product,IZ,1,neural_network,4500,4500.0,4500.0,20,-0.06380760082735777,0.09071224244273583,0.11131498962578526,0.1746405490510658,1.0
2,product,IZ,1,rank_one_mle,90,90.0,90.0,20,-0.003746068530887138,0.09331229153257996,0.10818292994609516,0.14926961594323962,1.0
2,product,IZ,1,rank_one_mle,180,180.0,180.0,20,-0.019465060528979495,0.05935609439691073,0.07605900161594056,0.13060688358164946,1.0
2,product,IZ,1,rank_one_mle,450,450.0,450.0,20,0.005320708209235389,0.029465375193068362,0.033468547854730905,0.052201140020635375,1.0
2,product,IZ,1,rank_one_mle,900,900.0,900.0,20,0.0034037558354605563,0.02553517949403284,0.03294052644816501,0.06362701584180674,1.0
2,product,IZ,1,rank_one_mle,1800,1800.0,1800.0,20,0.003611629571698388,0.01768056887714157,0.023767513715742324,0.038008406846567484,1.0
2,product,IZ,1,rank_one_mle,4500,4500.0,4500.0,20,-0.005228997446319,0.014510859124835362,0.01701037957615665,0.02570017678937254,1.0
2,product,XX,2,classical_shadow,90,90.0,90.0,20,0.060083412744501595,0.22065018131401798,0.28210377567058953,0.42610522600440703,not_applicable
2,product,XX,2,classical_shadow,180,180.0,180.0,20,0.007583412744501608,0.18919695985555413,0.2586335712129815,0.31403270691043117,not_applicable
2,product,XX,2,classical_shadow,450,450.0,450.0,20,0.033083412744501606,0.09667325007136468,0.11752311549643372,0.17962241768153092,not_applicable
2,product,XX,2,classical_shadow,900,900.0,900.0,20,-0.013916587255498398,0.06867861574869821,0.10680570932849986,0.15751238561024827,not_applicable
2,product,XX,2,classical_shadow,1800,1800.0,1800.0,20,-0.0044165872554983885,0.06607775128932099,0.07424910206023563,0.10637204609895469,not_applicable
